date,open,high,low,close,volume
2015-05-18,1.144725,1.14477,1.129875,1.131495,-1.0
2015-05-19,1.13115,1.132665,1.11187,1.115005,-1.0
2015-05-20,1.1148,1.115215,1.106235,1.109375,-1.0
2015-05-21,1.1094,1.118145,1.10798,1.111215,-1.0
2015-05-22,1.111675,1.120885,1.10023,1.101245,-1.0
2015-05-25,1.100475,1.101025,1.095915,1.09779,-1.0
2015-05-26,1.0976,1.09813,1.08635,1.087255,-1.0
2015-05-27,1.087575,1.092925,1.081915,1.09045,-1.0
2015-05-28,1.090175,1.095905,1.086685,1.09482,-1.0
2015-05-29,1.096425,1.100645,1.09259,1.098775,-1.0
2015-06-01,1.09865,1.099025,1.088715,1.09273,-1.0
2015-06-02,1.09229,1.11945,1.091615,1.115085,-1.0
2015-06-03,1.11521,1.128525,1.107945,1.127425,-1.0
2015-06-04,1.127145,1.137995,1.122255,1.123795,-1.0
2015-06-05,1.123105,1.12814,1.104945,1.11153,-1.0
2015-06-08,1.110575,1.130695,1.10844,1.12912,-1.0
2015-06-09,1.12845,1.134615,1.12142,1.128255,-1.0
2015-06-10,1.128055,1.138655,1.12597,1.13244,-1.0
2015-06-11,1.13255,1.133195,1.118195,1.12579,-1.0
2015-06-12,1.125845,1.12968,1.115135,1.126625,-1.0
2015-06-15,1.122095,1.12944,1.11894,1.12834,-1.0
2015-06-16,1.12805,1.13299,1.1205,1.12476,-1.0
2015-06-17,1.124925,1.135795,1.120465,1.13378,-1.0
2015-06-18,1.133575,1.143655,1.133045,1.13588,-1.0
2015-06-19,1.136875,1.139785,1.129205,1.134775,-1.0
2015-06-22,1.137225,1.141035,1.131165,1.13407,-1.0
2015-06-23,1.13335,1.134755,1.113505,1.11675,-1.0
2015-06-24,1.11598,1.123525,1.11587,1.120495,-1.0
2015-06-25,1.120595,1.122785,1.115385,1.120405,-1.0
2015-06-26,1.120475,1.121995,1.112945,1.11701,-1.0
2015-06-29,1.099125,1.127835,1.095445,1.123595,-1.0
2015-06-30,1.123925,1.124445,1.111205,1.114725,-1.0
2015-07-01,1.113675,1.117145,1.10428,1.105325,-1.0
2015-07-02,1.105275,1.11215,1.10323,1.10841,-1.0
